created_at,sentiment
Fri May 15 05:28:13 +0000 2020,0.475
Fri May 15 06:22:11 +0000 2020,0.35
Fri May 15 06:22:36 +0000 2020,0.35
Fri May 15 06:36:53 +0000 2020,0.475
Fri May 15 07:28:02 +0000 2020,-1.0
Fri May 15 07:40:55 +0000 2020,0.35
Fri May 15 07:54:47 +0000 2020,0.37777777777777777
Fri May 15 07:58:33 +0000 2020,0.35
Fri May 15 08:03:29 +0000 2020,-0.26666666666666666
Fri May 15 08:56:10 +0000 2020,0.35
Fri May 15 09:05:43 +0000 2020,0.35
Fri May 15 09:05:54 +0000 2020,0.35
Fri May 15 09:08:10 +0000 2020,-0.30000000000000004
Fri May 15 09:47:47 +0000 2020,0.35
Fri May 15 12:06:50 +0000 2020,0.35
Fri May 15 14:04:20 +0000 2020,0.35
Fri May 15 15:11:22 +0000 2020,0.0
Fri May 15 15:47:33 +0000 2020,0.35
Fri May 15 16:28:14 +0000 2020,0.45
Fri May 15 18:01:19 +0000 2020,0.32
Sat May 16 02:39:41 +0000 2020,-0.016666666666666663
Sat May 16 04:34:34 +0000 2020,0.12222222222222223
Sat May 16 04:58:39 +0000 2020,0.05
Sat May 16 06:56:11 +0000 2020,-0.12708333333333333
Sat May 16 07:35:26 +0000 2020,0.17857142857142855
Sat May 16 07:45:38 +0000 2020,-0.017954545454545466
Sat May 16 10:13:19 +0000 2020,-0.3
Sat May 16 10:45:38 +0000 2020,0.4444444444444444
Sat May 16 11:01:44 +0000 2020,0.25
Sat May 16 11:15:13 +0000 2020,-0.12708333333333333
Sat May 16 14:06:00 +0000 2020,-0.42
Sat May 16 14:26:06 +0000 2020,0.35
Sun May 17 07:08:14 +0000 2020,0.1477272727272727
Sun May 17 07:32:56 +0000 2020,0.35
Sun May 17 10:09:11 +0000 2020,0.15
Sun May 17 12:36:24 +0000 2020,0.14479166666666665
Sun May 17 13:29:55 +0000 2020,0.21428571428571427
Sun May 17 13:34:59 +0000 2020,0.12121212121212122
Sun May 17 14:51:42 +0000 2020,0.14479166666666665
Sun May 17 17:22:02 +0000 2020,0.16666666666666666
Sun May 17 17:49:42 +0000 2020,-0.033333333333333326
Sun May 17 18:23:13 +0000 2020,0.14479166666666665
Sun May 17 18:25:33 +0000 2020,0.4666666666666666
Sun May 17 19:21:33 +0000 2020,0.21393939393939396
Sun May 17 21:39:17 +0000 2020,0.6000000000000001
Mon May 18 07:56:27 +0000 2020,0.22727272727272727
Mon May 18 08:53:58 +0000 2020,-0.016666666666666663
Mon May 18 09:13:10 +0000 2020,-0.4666666666666666
Mon May 18 13:06:42 +0000 2020,-0.0625
Mon May 18 18:22:25 +0000 2020,0.08333333333333334
Tue May 19 03:52:34 +0000 2020,0.16666666666666666
Fri May 29 06:55:32 +0000 2020,0.16666666666666666
Fri May 29 07:05:01 +0000 2020,0.16666666666666666
Fri May 29 10:51:24 +0000 2020,0.13214285714285715
Fri May 29 11:04:09 +0000 2020,0.16666666666666666
Fri May 29 11:37:29 +0000 2020,0.0
Fri May 29 14:20:09 +0000 2020,0.10833333333333332
Fri May 29 14:22:36 +0000 2020,0.10833333333333332
Fri May 29 15:01:07 +0000 2020,0.10833333333333332
Fri May 29 15:18:34 +0000 2020,0.10833333333333332
Fri May 29 15:29:27 +0000 2020,0.10833333333333332
Fri May 29 15:56:46 +0000 2020,0.10833333333333332
Fri May 29 16:14:20 +0000 2020,0.10833333333333332
Fri May 29 16:46:37 +0000 2020,0.10833333333333332
Fri May 29 17:00:50 +0000 2020,0.10833333333333332
Fri May 29 17:26:12 +0000 2020,0.16666666666666666
Fri May 29 18:02:49 +0000 2020,0.36363636363636365
Fri May 29 18:11:39 +0000 2020,0.10833333333333332
Fri May 29 18:18:54 +0000 2020,0.36363636363636365
Fri May 29 20:52:19 +0000 2020,0.10833333333333332
Fri May 29 21:18:39 +0000 2020,0.12
Fri May 29 23:26:51 +0000 2020,-0.25
Fri May 29 23:53:37 +0000 2020,0.36363636363636365
Sat May 30 01:59:51 +0000 2020,0.10833333333333332
Sat May 30 05:24:07 +0000 2020,0.0
Sat May 30 06:35:44 +0000 2020,0.10833333333333332
Sat May 30 08:11:28 +0000 2020,-0.07589285714285714
Sat May 30 08:19:49 +0000 2020,0.75
Sat May 30 08:24:57 +0000 2020,0.10833333333333332
Sat May 30 08:39:00 +0000 2020,0.10833333333333332
Sat May 30 09:23:48 +0000 2020,-0.19999999999999998
Sat May 30 09:55:01 +0000 2020,-0.07589285714285714
Sat May 30 10:17:19 +0000 2020,-0.07589285714285714
Sat May 30 11:58:53 +0000 2020,-0.07589285714285714
Sat May 30 13:39:29 +0000 2020,0.2
Sat May 30 13:46:27 +0000 2020,0.2
Sat May 30 14:57:46 +0000 2020,0.0
Sat May 30 15:09:58 +0000 2020,0.0
Sat May 30 15:16:11 +0000 2020,-0.5
Sat May 30 16:01:13 +0000 2020,0.10833333333333332
Mon Jul 06 05:00:28 +0000 2020,0.20576923076923082
Mon Jul 06 07:04:39 +0000 2020,0.16666666666666669
Mon Jul 06 07:08:16 +0000 2020,-0.6458333333333334
Mon Jul 06 08:24:37 +0000 2020,0.36363636363636365
Mon Jul 06 10:05:27 +0000 2020,-0.04821428571428569
Mon Jul 06 11:50:28 +0000 2020,-0.17083333333333328
Mon Jul 06 13:18:07 +0000 2020,0.4510416666666666
Mon Jul 06 17:49:02 +0000 2020,0.17142857142857146
Tue Jul 07 07:24:42 +0000 2020,-0.06000000000000001
Tue Jul 07 08:00:00 +0000 2020,0.41
Tue Jul 07 08:01:32 +0000 2020,0.0
Tue Jul 07 10:15:00 +0000 2020,0.08333333333333333
Tue Jul 07 11:34:48 +0000 2020,0.08333333333333333
Tue Jul 07 12:57:33 +0000 2020,-0.01851851851851852
Tue Jul 07 14:29:30 +0000 2020,0.0
Tue Jul 07 15:16:49 +0000 2020,-1.0
Tue Jul 07 16:11:00 +0000 2020,-1.0
Tue Jul 07 16:13:15 +0000 2020,0.525
Tue Jul 07 20:42:12 +0000 2020,-1.0
Wed Jul 08 03:13:07 +0000 2020,-1.0
Wed Jul 08 04:27:48 +0000 2020,-1.0
Wed Jul 08 08:13:24 +0000 2020,-0.2962962962962963
Wed Jul 08 09:04:48 +0000 2020,0.1714285714285714
Wed Jul 08 11:10:46 +0000 2020,-0.044444444444444446
Wed Jul 08 13:30:29 +0000 2020,0.5833333333333334
Wed Jul 08 17:43:42 +0000 2020,0.4666666666666667
Wed Jul 08 18:18:34 +0000 2020,-0.0625
Thu Jul 09 02:00:01 +0000 2020,0.4
Thu Jul 09 07:36:56 +0000 2020,0.7416666666666667
Thu Jul 09 11:02:37 +0000 2020,-0.13333333333333333
Thu Jul 09 14:33:53 +0000 2020,-0.028571428571428574
Thu Jul 09 15:23:45 +0000 2020,0.5
Thu Jul 09 15:42:58 +0000 2020,0.3333333333333333
Thu Jul 09 18:18:58 +0000 2020,0.267
